,year,month,stateid,price,price-units
0,,,HI,0.0,cents per kilowatt-hour
5,,,ID,11.53,cents per kilowatt-hour
6,,,ID,0.0,cents per kilowatt-hour
11,,,IL,14.84,cents per kilowatt-hour
12,,,IL,7.29,cents per kilowatt-hour
17,,,IN,14.58,cents per kilowatt-hour
18,,,IN,11.56,cents per kilowatt-hour
23,,,IA,11.95,cents per kilowatt-hour
24,,,IA,0.0,cents per kilowatt-hour
29,,,KS,12.72,cents per kilowatt-hour
30,,,KS,0.0,cents per kilowatt-hour
35,,,KY,12.34,cents per kilowatt-hour
36,,,KY,0.0,cents per kilowatt-hour
41,,,LA,11.21,cents per kilowatt-hour
42,,,LA,11.22,cents per kilowatt-hour
47,,,ME,27.99,cents per kilowatt-hour
48,,,ME,0.0,cents per kilowatt-hour
53,,,MD,17.46,cents per kilowatt-hour
56,,,WY,12.49,cents per kilowatt-hour
57,,,WY,0.0,cents per kilowatt-hour
62,,,NEW,28.05,cents per kilowatt-hour
63,,,NEW,10.94,cents per kilowatt-hour
68,,,MAT,19.67,cents per kilowatt-hour
69,,,MAT,14.21,cents per kilowatt-hour
74,,,ENC,16.51,cents per kilowatt-hour
75,,,ENC,7.35,cents per kilowatt-hour
80,,,WNC,13.22,cents per kilowatt-hour
81,,,WNC,12.44,cents per kilowatt-hour
86,,,SAT,15.0,cents per kilowatt-hour
87,,,SAT,10.25,cents per kilowatt-hour
92,,,ESC,13.48,cents per kilowatt-hour
93,,,ESC,0.0,cents per kilowatt-hour
98,,,WSC,14.18,cents per kilowatt-hour
99,,,WSC,7.34,cents per kilowatt-hour
106,,,LA,11.42,cents per kilowatt-hour
107,,,LA,10.52,cents per kilowatt-hour
112,,,ME,26.79,cents per kilowatt-hour
113,,,ME,0.0,cents per kilowatt-hour
118,,,MD,16.95,cents per kilowatt-hour
119,,,MD,11.44,cents per kilowatt-hour
124,,,MA,28.18,cents per kilowatt-hour
125,,,MA,6.79,cents per kilowatt-hour
130,,,MI,19.49,cents per kilowatt-hour
131,,,MI,13.71,cents per kilowatt-hour
136,,,MN,15.44,cents per kilowatt-hour
137,,,MN,12.53,cents per kilowatt-hour
142,,,NJ,16.89,cents per kilowatt-hour
143,,,NJ,14.36,cents per kilowatt-hour
144,,,MAT,14.82,cents per kilowatt-hour
149,,,ENC,16.18,cents per kilowatt-hour
150,,,ENC,5.94,cents per kilowatt-hour
155,,,WNC,12.67,cents per kilowatt-hour
156,,,WNC,10.47,cents per kilowatt-hour
161,,,SAT,14.54,cents per kilowatt-hour
162,,,SAT,10.21,cents per kilowatt-hour
167,,,ESC,13.53,cents per kilowatt-hour
168,,,ESC,0.0,cents per kilowatt-hour
173,,,NM,13.27,cents per kilowatt-hour
174,,,NM,0.0,cents per kilowatt-hour
179,,,NY,23.62,cents per kilowatt-hour
180,,,NY,14.75,cents per kilowatt-hour
185,,,NC,12.37,cents per kilowatt-hour
186,,,NC,7.69,cents per kilowatt-hour
194,,,WSC,13.86,cents per kilowatt-hour
195,,,WSC,7.77,cents per kilowatt-hour
200,,,MTN,13.85,cents per kilowatt-hour
201,,,MTN,12.57,cents per kilowatt-hour
206,,,PACC,21.57,cents per kilowatt-hour
207,,,PACC,13.17,cents per kilowatt-hour
212,,,PACN,35.06,cents per kilowatt-hour
213,,,PACN,0.0,cents per kilowatt-hour
218,,,US,16.19,cents per kilowatt-hour
219,,,US,12.6,cents per kilowatt-hour
223,,,AZ,14.3,cents per kilowatt-hour
224,,,AZ,10.45,cents per kilowatt-hour
229,,,AR,12.32,cents per kilowatt-hour
230,,,AR,15.12,cents per kilowatt-hour
235,,,CA,29.82,cents per kilowatt-hour
236,,,CA,13.12,cents per kilowatt-hour
241,,,CO,14.34,cents per kilowatt-hour
242,,,CO,11.3,cents per kilowatt-hour
249,,,ME,27.56,cents per kilowatt-hour
250,,,ME,0.0,cents per kilowatt-hour
255,,,MD,17.0,cents per kilowatt-hour
256,,,MD,11.16,cents per kilowatt-hour
261,,,MA,27.52,cents per kilowatt-hour
262,,,MA,7.28,cents per kilowatt-hour
267,,,MI,19.38,cents per kilowatt-hour
268,,,MI,13.85,cents per kilowatt-hour
273,,,MN,15.68,cents per kilowatt-hour
274,,,MN,13.9,cents per kilowatt-hour
281,,,CT,31.36,cents per kilowatt-hour
282,,,CT,16.12,cents per kilowatt-hour
287,,,DE,16.62,cents per kilowatt-hour
288,,,DE,0.0,cents per kilowatt-hour
293,,,DC,17.09,cents per kilowatt-hour
294,,,DC,10.39,cents per kilowatt-hour
299,,,FL,15.09,cents per kilowatt-hour
300,,,FL,11.49,cents per kilowatt-hour
302,,,MS,13.27,cents per kilowatt-hour
303,,,MS,0.0,cents per kilowatt-hour
308,,,MO,14.1,cents per kilowatt-hour
309,,,MO,9.7,cents per kilowatt-hour
314,,,MT,13.16,cents per kilowatt-hour
315,,,MT,0.0,cents per kilowatt-hour
320,,,MTN,13.86,cents per kilowatt-hour
321,,,MTN,12.92,cents per kilowatt-hour
322,,,IN,14.0,cents per kilowatt-hour
323,,,IN,11.86,cents per kilowatt-hour
328,,,IA,11.85,cents per kilowatt-hour
329,,,IA,0.0,cents per kilowatt-hour
334,,,KS,13.04,cents per kilowatt-hour
335,,,KS,0.0,cents per kilowatt-hour
340,,,KY,12.51,cents per kilowatt-hour
341,,,KY,0.0,cents per kilowatt-hour
346,,,LA,10.82,cents per kilowatt-hour
351,,,PACC,23.84,cents per kilowatt-hour
352,,,PACC,14.42,cents per kilowatt-hour
357,,,PACN,35.18,cents per kilowatt-hour
358,,,PACN,0.0,cents per kilowatt-hour
359,,,MD,11.7,cents per kilowatt-hour
364,,,MA,28.94,cents per kilowatt-hour
365,,,MA,6.94,cents per kilowatt-hour
370,,,MI,18.7,cents per kilowatt-hour
371,,,MI,13.68,cents per kilowatt-hour
376,,,MN,14.09,cents per kilowatt-hour
377,,,MN,10.52,cents per kilowatt-hour
382,,,MS,13.06,cents per kilowatt-hour
383,,,MS,0.0,cents per kilowatt-hour
388,,,MO,11.33,cents per kilowatt-hour
389,,,MO,8.63,cents per kilowatt-hour
395,,,NH,25.58,cents per kilowatt-hour
396,,,NH,0.0,cents per kilowatt-hour
401,,,NJ,17.47,cents per kilowatt-hour
402,,,NJ,11.59,cents per kilowatt-hour
405,,,LA,10.48,cents per kilowatt-hour
409,,,SD,13.07,cents per kilowatt-hour
410,,,SD,0.0,cents per kilowatt-hour
415,,,TN,11.93,cents per kilowatt-hour
416,,,TN,0.0,cents per kilowatt-hour
421,,,TX,14.17,cents per kilowatt-hour
422,,,TX,6.75,cents per kilowatt-hour
427,,,UT,11.67,cents per kilowatt-hour
428,,,UT,12.32,cents per kilowatt-hour
433,,,VT,20.47,cents per kilowatt-hour
434,,,VT,0.0,cents per kilowatt-hour
439,,,VA,13.85,cents per kilowatt-hour
440,,,VA,10.36,cents per kilowatt-hour
445,,,WA,11.14,cents per kilowatt-hour
446,,,WA,10.19,cents per kilowatt-hour
451,,,WV,14.2,cents per kilowatt-hour
452,,,WV,0.0,cents per kilowatt-hour
457,,,WI,17.19,cents per kilowatt-hour
458,,,WI,18.57,cents per kilowatt-hour
463,,,WY,12.45,cents per kilowatt-hour
464,,,WY,0.0,cents per kilowatt-hour
468,,,WSC,13.89,cents per kilowatt-hour
469,,,WSC,7.35,cents per kilowatt-hour
474,,,MTN,13.0,cents per kilowatt-hour
475,,,MTN,12.94,cents per kilowatt-hour
480,,,PACC,19.38,cents per kilowatt-hour
481,,,PACC,11.8,cents per kilowatt-hour
486,,,PACN,34.05,cents per kilowatt-hour
487,,,PACN,0.0,cents per kilowatt-hour
492,,,US,15.98,cents per kilowatt-hour
493,,,US,13.14,cents per kilowatt-hour
498,,,AL,14.54,cents per kilowatt-hour
499,,,AL,0.0,cents per kilowatt-hour
504,,,AK,23.44,cents per kilowatt-hour
505,,,AK,0.0,cents per kilowatt-hour
510,,,AZ,14.12,cents per kilowatt-hour
511,,,AZ,9.28,cents per kilowatt-hour
517,,,ME,25.37,cents per kilowatt-hour
518,,,ME,0.0,cents per kilowatt-hour
523,,,MD,16.39,cents per kilowatt-hour
524,,,MD,11.17,cents per kilowatt-hour
529,,,MA,28.02,cents per kilowatt-hour
530,,,MA,6.75,cents per kilowatt-hour
535,,,MI,19.57,cents per kilowatt-hour
537,,,ND,9.95,cents per kilowatt-hour
538,,,ND,0.0,cents per kilowatt-hour
543,,,OH,14.3,cents per kilowatt-hour
544,,,OH,5.51,cents per kilowatt-hour
550,,,RI,23.54,cents per kilowatt-hour
551,,,RI,16.69,cents per kilowatt-hour
556,,,SC,13.9,cents per kilowatt-hour
557,,,SC,0.0,cents per kilowatt-hour
562,,,SD,11.92,cents per kilowatt-hour
563,,,SD,0.0,cents per kilowatt-hour
568,,,TN,11.86,cents per kilowatt-hour
569,,,TN,0.0,cents per kilowatt-hour
574,,,TX,14.36,cents per kilowatt-hour
575,,,TX,7.14,cents per kilowatt-hour
580,,,UT,10.84,cents per kilowatt-hour
581,,,UT,12.2,cents per kilowatt-hour
586,,,VT,20.75,cents per kilowatt-hour
587,,,OK,13.04,cents per kilowatt-hour
588,,,OK,0.0,cents per kilowatt-hour
593,,,OR,13.29,cents per kilowatt-hour
594,,,OR,11.66,cents per kilowatt-hour
599,,,PA,18.44,cents per kilowatt-hour
600,,,PA,10.83,cents per kilowatt-hour
605,,,RI,30.08,cents per kilowatt-hour
606,,,RI,17.42,cents per kilowatt-hour
611,,,SC,14.0,cents per kilowatt-hour
612,,,SC,0.0,cents per kilowatt-hour
617,,,SD,13.05,cents per kilowatt-hour
618,,,SD,0.0,cents per kilowatt-hour
623,,,PACC,21.13,cents per kilowatt-hour
624,,,PACC,11.63,cents per kilowatt-hour
629,,,PACN,34.25,cents per kilowatt-hour
630,,,PACN,0.0,cents per kilowatt-hour
635,,,US,16.04,cents per kilowatt-hour
636,,,US,12.28,cents per kilowatt-hour
641,,,AL,14.16,cents per kilowatt-hour
642,,,AL,0.0,cents per kilowatt-hour
647,,,AK,24.22,cents per kilowatt-hour
648,,,AK,0.0,cents per kilowatt-hour
652,,,GA,13.96,cents per kilowatt-hour
653,,,GA,5.94,cents per kilowatt-hour
658,,,HI,42.26,cents per kilowatt-hour
659,,,HI,0.0,cents per kilowatt-hour
665,,,TN,12.49,cents per kilowatt-hour
666,,,TN,0.0,cents per kilowatt-hour
671,,,TX,14.89,cents per kilowatt-hour
672,,,TX,7.17,cents per kilowatt-hour
677,,,UT,11.23,cents per kilowatt-hour
678,,,UT,12.32,cents per kilowatt-hour
683,,,VT,22.11,cents per kilowatt-hour
684,,,VT,0.0,cents per kilowatt-hour
689,,,VA,14.16,cents per kilowatt-hour
691,,,ID,10.72,cents per kilowatt-hour
692,,,ID,0.0,cents per kilowatt-hour
697,,,IL,17.86,cents per kilowatt-hour
698,,,IL,7.25,cents per kilowatt-hour
703,,,IN,15.12,cents per kilowatt-hour
704,,,IN,0.0,cents per kilowatt-hour
709,,,IA,14.29,cents per kilowatt-hour
710,,,IA,0.0,cents per kilowatt-hour
715,,,KS,13.86,cents per kilowatt-hour
716,,,KS,0.0,cents per kilowatt-hour
721,,,KY,12.69,cents per kilowatt-hour
722,,,KY,0.0,cents per kilowatt-hour
727,,,LA,11.72,cents per kilowatt-hour
728,,,LA,11.47,cents per kilowatt-hour
733,,,ME,29.19,cents per kilowatt-hour
734,,,ME,0.0,cents per kilowatt-hour
739,,,MD,16.08,cents per kilowatt-hour
740,,,MD,11.33,cents per kilowatt-hour
745,,,MA,29.39,cents per kilowatt-hour
746,,,MA,7.51,cents per kilowatt-hour
751,,,MI,18.7,cents per kilowatt-hour
752,,,MI,14.07,cents per kilowatt-hour
754,,,MI,14.12,cents per kilowatt-hour
759,,,MN,15.61,cents per kilowatt-hour
763,,,AL,14.67,cents per kilowatt-hour
764,,,AL,0.0,cents per kilowatt-hour
769,,,AK,24.79,cents per kilowatt-hour
770,,,AK,0.0,cents per kilowatt-hour
775,,,AZ,14.28,cents per kilowatt-hour
776,,,AZ,11.46,cents per kilowatt-hour
781,,,AR,12.46,cents per kilowatt-hour
782,,,AR,16.8,cents per kilowatt-hour
787,,,CA,31.24,cents per kilowatt-hour
788,,,CA,11.85,cents per kilowatt-hour
793,,,CO,14.63,cents per kilowatt-hour
794,,,CO,14.98,cents per kilowatt-hour
799,,,CT,31.85,cents per kilowatt-hour
800,,,CT,16.63,cents per kilowatt-hour
805,,,MN,13.4,cents per kilowatt-hour
810,,,MS,12.7,cents per kilowatt-hour
811,,,MS,0.0,cents per kilowatt-hour
816,,,MO,14.25,cents per kilowatt-hour
817,,,MO,12.18,cents per kilowatt-hour
822,,,MT,12.93,cents per kilowatt-hour
823,,,MT,0.0,cents per kilowatt-hour
828,,,NE,12.19,cents per kilowatt-hour
829,,,NE,0.0,cents per kilowatt-hour
834,,,NV,16.48,cents per kilowatt-hour
835,,,NV,12.87,cents per kilowatt-hour
840,,,NH,26.13,cents per kilowatt-hour
841,,,NH,0.0,cents per kilowatt-hour
846,,,NJ,18.51,cents per kilowatt-hour
847,,,NJ,12.18,cents per kilowatt-hour
852,,,NM,14.41,cents per kilowatt-hour
853,,,NM,0.0,cents per kilowatt-hour
858,,,NY,22.26,cents per kilowatt-hour
859,,,NY,16.34,cents per kilowatt-hour
864,,,NC,12.7,cents per kilowatt-hour
865,,,NC,9.43,cents per kilowatt-hour
868,,,DE,15.99,cents per kilowatt-hour
869,,,DE,0.0,cents per kilowatt-hour
874,,,DC,16.55,cents per kilowatt-hour
875,,,DC,9.04,cents per kilowatt-hour
880,,,FL,15.23,cents per kilowatt-hour
881,,,FL,11.27,cents per kilowatt-hour
886,,,GA,14.59,cents per kilowatt-hour
887,,,GA,7.57,cents per kilowatt-hour
892,,,HI,41.74,cents per kilowatt-hour
893,,,HI,0.0,cents per kilowatt-hour
898,,,ID,11.71,cents per kilowatt-hour
899,,,ID,0.0,cents per kilowatt-hour
904,,,IL,15.08,cents per kilowatt-hour
905,,,IL,7.14,cents per kilowatt-hour
910,,,IN,14.67,cents per kilowatt-hour
911,,,IN,11.56,cents per kilowatt-hour
916,,,IA,15.11,cents per kilowatt-hour
917,,,IA,0.0,cents per kilowatt-hour
922,,,KS,13.33,cents per kilowatt-hour
923,,,KS,0.0,cents per kilowatt-hour
928,,,KY,12.65,cents per kilowatt-hour
929,,,KY,0.0,cents per kilowatt-hour
934,,,ND,12.55,cents per kilowatt-hour
935,,,ND,0.0,cents per kilowatt-hour
940,,,OH,15.63,cents per kilowatt-hour
941,,,OH,6.34,cents per kilowatt-hour
946,,,OK,13.1,cents per kilowatt-hour
947,,,OK,0.0,cents per kilowatt-hour
952,,,OR,13.02,cents per kilowatt-hour
953,,,OR,11.4,cents per kilowatt-hour
958,,,PA,17.89,cents per kilowatt-hour
959,,,PA,11.02,cents per kilowatt-hour
964,,,RI,25.54,cents per kilowatt-hour
965,,,RI,16.75,cents per kilowatt-hour
970,,,SC,13.41,cents per kilowatt-hour
971,,,SC,0.0,cents per kilowatt-hour
973,,,VA,9.98,cents per kilowatt-hour
978,,,WA,11.33,cents per kilowatt-hour
979,,,WA,10.12,cents per kilowatt-hour
984,,,WV,15.05,cents per kilowatt-hour
985,,,WV,0.0,cents per kilowatt-hour
990,,,WI,17.14,cents per kilowatt-hour
991,,,WI,21.34,cents per kilowatt-hour
996,,,LA,11.25,cents per kilowatt-hour
997,,,LA,11.28,cents per kilowatt-hour
1002,,,AZ,14.42,cents per kilowatt-hour
1003,,,AZ,9.63,cents per kilowatt-hour
1008,,,AR,11.54,cents per kilowatt-hour
1009,,,AR,15.18,cents per kilowatt-hour
1014,,,CA,29.12,cents per kilowatt-hour
1015,,,CA,13.09,cents per kilowatt-hour
1020,,,CO,14.18,cents per kilowatt-hour
1021,,,CO,12.39,cents per kilowatt-hour
1026,,,CT,26.89,cents per kilowatt-hour
1027,,,CT,19.57,cents per kilowatt-hour
1032,,,DE,16.3,cents per kilowatt-hour
1033,,,DE,0.0,cents per kilowatt-hour
1038,,,DC,17.82,cents per kilowatt-hour
1039,,,DC,10.57,cents per kilowatt-hour
1044,,,FL,15.2,cents per kilowatt-hour
1045,,,FL,11.31,cents per kilowatt-hour
1050,,,GA,12.72,cents per kilowatt-hour
1051,,,GA,6.2,cents per kilowatt-hour
1056,,,HI,41.6,cents per kilowatt-hour
1057,,,TX,7.28,cents per kilowatt-hour
1062,,,UT,10.86,cents per kilowatt-hour
1063,,,UT,12.21,cents per kilowatt-hour
1068,,,VT,20.38,cents per kilowatt-hour
1069,,,VT,0.0,cents per kilowatt-hour
1074,,,VA,14.67,cents per kilowatt-hour
1075,,,VA,11.06,cents per kilowatt-hour
1080,,,WA,10.79,cents per kilowatt-hour
1081,,,WA,10.65,cents per kilowatt-hour
1086,,,WV,14.23,cents per kilowatt-hour
1087,,,WV,0.0,cents per kilowatt-hour
1092,,,WI,16.47,cents per kilowatt-hour
1093,,,WI,16.2,cents per kilowatt-hour
1098,,,WY,10.68,cents per kilowatt-hour
1099,,,WY,0.0,cents per kilowatt-hour
1104,,,NEW,31.25,cents per kilowatt-hour
1105,,,NEW,14.92,cents per kilowatt-hour
1110,,,MAT,19.09,cents per kilowatt-hour
1111,,,MAT,13.57,cents per kilowatt-hour
1116,,,ENC,16.45,cents per kilowatt-hour
1117,,,ENC,7.33,cents per kilowatt-hour
1120,,,NE,11.67,cents per kilowatt-hour
1121,,,NE,0.0,cents per kilowatt-hour
1126,,,NV,14.63,cents per kilowatt-hour
1127,,,NV,12.48,cents per kilowatt-hour
1132,,,NH,25.49,cents per kilowatt-hour
1133,,,NH,0.0,cents per kilowatt-hour
1138,,,NJ,17.46,cents per kilowatt-hour
1139,,,NJ,11.2,cents per kilowatt-hour
1144,,,NM,14.12,cents per kilowatt-hour
1145,,,NM,0.0,cents per kilowatt-hour
1150,,,NY,21.99,cents per kilowatt-hour
1151,,,NY,15.26,cents per kilowatt-hour
1156,,,NC,14.4,cents per kilowatt-hour
1157,,,NC,10.14,cents per kilowatt-hour
1162,,,ND,11.71,cents per kilowatt-hour
1163,,,ND,0.0,cents per kilowatt-hour
1170,,,AL,14.55,cents per kilowatt-hour
1171,,,AL,0.0,cents per kilowatt-hour
1176,,,AK,24.91,cents per kilowatt-hour
1177,,,AK,0.0,cents per kilowatt-hour
1181,,,DC,15.7,cents per kilowatt-hour
1182,,,DC,10.47,cents per kilowatt-hour
1187,,,FL,15.82,cents per kilowatt-hour
1188,,,FL,10.35,cents per kilowatt-hour
1193,,,GA,13.53,cents per kilowatt-hour
1198,,,SC,13.98,cents per kilowatt-hour
1199,,,SC,0.0,cents per kilowatt-hour
1204,,,SD,13.18,cents per kilowatt-hour
1205,,,SD,0.0,cents per kilowatt-hour
1214,,,WNC,12.12,cents per kilowatt-hour
1215,,,WNC,10.31,cents per kilowatt-hour
1220,,,SAT,14.2,cents per kilowatt-hour
1221,,,SAT,10.11,cents per kilowatt-hour
1226,,,ESC,13.17,cents per kilowatt-hour
1227,,,ESC,0.0,cents per kilowatt-hour
1232,,,WSC,13.75,cents per kilowatt-hour
1233,,,WSC,7.51,cents per kilowatt-hour
1238,,,MD,16.02,cents per kilowatt-hour
1239,,,MD,11.1,cents per kilowatt-hour
1244,,,MA,27.43,cents per kilowatt-hour
1245,,,MA,6.62,cents per kilowatt-hour
1250,,,MI,19.43,cents per kilowatt-hour
1251,,,MI,14.05,cents per kilowatt-hour
1256,,,MN,15.6,cents per kilowatt-hour
1257,,,MN,13.49,cents per kilowatt-hour
1262,,,MS,12.82,cents per kilowatt-hour
1263,,,MS,0.0,cents per kilowatt-hour
1268,,,OH,15.89,cents per kilowatt-hour
1269,,,OH,6.72,cents per kilowatt-hour
1274,,,WV,14.42,cents per kilowatt-hour
1275,,,WV,0.0,cents per kilowatt-hour
1280,,,WI,16.85,cents per kilowatt-hour
1281,,,WI,15.74,cents per kilowatt-hour
1286,,,WY,11.59,cents per kilowatt-hour
1287,,,WY,0.0,cents per kilowatt-hour
1292,,,NEW,27.47,cents per kilowatt-hour
1293,,,NEW,10.68,cents per kilowatt-hour
1298,,,MAT,19.76,cents per kilowatt-hour
1299,,,GA,5.92,cents per kilowatt-hour
1304,,,HI,44.24,cents per kilowatt-hour
1305,,,HI,0.0,cents per kilowatt-hour
1310,,,ID,10.19,cents per kilowatt-hour
1311,,,ID,0.0,cents per kilowatt-hour
1313,,,WNC,14.21,cents per kilowatt-hour
1314,,,WNC,12.64,cents per kilowatt-hour
1319,,,SAT,14.28,cents per kilowatt-hour
1320,,,SAT,10.53,cents per kilowatt-hour
1325,,,ESC,12.79,cents per kilowatt-hour
1326,,,ESC,0.0,cents per kilowatt-hour
1331,,,WSC,13.56,cents per kilowatt-hour
1332,,,WSC,7.01,cents per kilowatt-hour
1337,,,MTN,13.92,cents per kilowatt-hour
1338,,,MTN,13.11,cents per kilowatt-hour
1343,,,PACC,24.22,cents per kilowatt-hour
1344,,,PACC,13.51,cents per kilowatt-hour
1349,,,PACN,34.22,cents per kilowatt-hour
1350,,,PACN,0.0,cents per kilowatt-hour
1355,,,US,15.91,cents per kilowatt-hour
1358,,,AR,12.73,cents per kilowatt-hour
1359,,,AR,13.2,cents per kilowatt-hour
1364,,,CA,31.78,cents per kilowatt-hour
1365,,,CA,14.92,cents per kilowatt-hour
1371,,,RI,17.44,cents per kilowatt-hour
1376,,,SC,14.04,cents per kilowatt-hour
1377,,,SC,0.0,cents per kilowatt-hour
1382,,,SD,13.24,cents per kilowatt-hour
1383,,,SD,0.0,cents per kilowatt-hour
1388,,,TN,11.78,cents per kilowatt-hour
1389,,,TN,0.0,cents per kilowatt-hour
1394,,,TX,14.68,cents per kilowatt-hour
1395,,,TX,7.49,cents per kilowatt-hour
1400,,,UT,11.85,cents per kilowatt-hour
1401,,,UT,12.33,cents per kilowatt-hour
1406,,,VT,21.21,cents per kilowatt-hour
1407,,,VT,0.0,cents per kilowatt-hour
1412,,,VA,14.69,cents per kilowatt-hour
1413,,,VA,9.02,cents per kilowatt-hour
1418,,,WA,11.38,cents per kilowatt-hour
1423,,,TN,12.04,cents per kilowatt-hour
1424,,,TN,0.0,cents per kilowatt-hour
1429,,,TX,14.36,cents per kilowatt-hour
1430,,,TX,7.09,cents per kilowatt-hour
1435,,,UT,10.65,cents per kilowatt-hour
1436,,,UT,12.41,cents per kilowatt-hour
1441,,,VT,19.96,cents per kilowatt-hour
1442,,,VT,0.0,cents per kilowatt-hour
1447,,,VA,13.96,cents per kilowatt-hour
1448,,,VA,12.21,cents per kilowatt-hour
1453,,,WA,10.49,cents per kilowatt-hour
1454,,,WA,10.06,cents per kilowatt-hour
1459,,,NEW,27.11,cents per kilowatt-hour
1460,,,NEW,13.43,cents per kilowatt-hour
1465,,,MAT,19.74,cents per kilowatt-hour
1466,,,MAT,15.18,cents per kilowatt-hour
1471,,,ENC,15.72,cents per kilowatt-hour
1472,,,ENC,6.79,cents per kilowatt-hour
1479,,,UT,10.79,cents per kilowatt-hour
1480,,,UT,12.41,cents per kilowatt-hour
1485,,,VT,20.28,cents per kilowatt-hour
1486,,,VT,0.0,cents per kilowatt-hour
1491,,,VA,14.32,cents per kilowatt-hour
1492,,,VA,11.32,cents per kilowatt-hour
1495,,,US,13.26,cents per kilowatt-hour
1500,,,AL,14.89,cents per kilowatt-hour
1501,,,AL,0.0,cents per kilowatt-hour
1505,,,DC,16.06,cents per kilowatt-hour
1506,,,DC,10.76,cents per kilowatt-hour
1511,,,FL,14.65,cents per kilowatt-hour
1512,,,FL,11.66,cents per kilowatt-hour
1517,,,GA,13.49,cents per kilowatt-hour
1518,,,GA,6.29,cents per kilowatt-hour
1523,,,HI,44.06,cents per kilowatt-hour
1524,,,HI,0.0,cents per kilowatt-hour
1529,,,ID,10.03,cents per kilowatt-hour
1530,,,ID,0.0,cents per kilowatt-hour
1535,,,IL,17.38,cents per kilowatt-hour
1536,,,IL,6.87,cents per kilowatt-hour
1541,,,IN,16.02,cents per kilowatt-hour
1542,,,IN,13.1,cents per kilowatt-hour
1547,,,IA,11.99,cents per kilowatt-hour
1548,,,IA,0.0,cents per kilowatt-hour
1553,,,KS,13.72,cents per kilowatt-hour
1554,,,KS,0.0,cents per kilowatt-hour
1559,,,KY,12.28,cents per kilowatt-hour
1560,,,WA,10.02,cents per kilowatt-hour
1567,,,AR,12.36,cents per kilowatt-hour
1568,,,AR,15.83,cents per kilowatt-hour
1573,,,CA,29.7,cents per kilowatt-hour
1574,,,CA,11.51,cents per kilowatt-hour
1579,,,CO,13.53,cents per kilowatt-hour
1580,,,CO,12.4,cents per kilowatt-hour
1585,,,CT,34.48,cents per kilowatt-hour
1586,,,CT,17.33,cents per kilowatt-hour
1591,,,DE,15.47,cents per kilowatt-hour
1592,,,DE,0.0,cents per kilowatt-hour
1597,,,DC,15.3,cents per kilowatt-hour
1598,,,DC,9.86,cents per kilowatt-hour
1603,,,FL,15.72,cents per kilowatt-hour
1604,,,FL,12.24,cents per kilowatt-hour
1609,,,GA,13.25,cents per kilowatt-hour
1610,,,GA,5.82,cents per kilowatt-hour
1615,,,HI,43.18,cents per kilowatt-hour
1616,,,HI,0.0,cents per kilowatt-hour
1621,,,ID,10.18,cents per kilowatt-hour
1622,,,KY,0.0,cents per kilowatt-hour
1627,,,LA,11.87,cents per kilowatt-hour
1628,,,LA,11.09,cents per kilowatt-hour
